net_cost,self_sufficiency_pct,soh_drop_pct,degradation_cost,comfort_violation_kwh,battery_switching_events,control_effort_kw,peak_hour_grid_import_kwh,soc_bound_violations,avg_solve_time_ms,avg_forecast_confidence,scenario,controller,seed
140.37203031329693,44.93837886810336,1.9264253609971749,78.15751433900807,0.0,14,18.01907411014063,20.20048054306148,0,24.164912153032166,0.09438060308249617,EV Fleet Overnight Charging,DT-AAMPC (Proposed),4
274.2961116409491,37.12583808131505,4.943442015356315,202.7795503055854,0.0,41,291.31025414173223,43.4614995928191,358,0.01613663195914544,0.09438060308249617,EV Fleet Overnight Charging,PID Droop,0
274.3339479453633,37.12652987034721,4.944468121824963,202.82212831492046,0.0,43,291.8514339687402,43.44040159606634,358,0.019996527928217097,0.09438060308249617,EV Fleet Overnight Charging,PID Droop,1
274.30630110817367,37.131506908752044,4.943810227987033,202.7973338482416,0.0,41,291.8478341538578,43.44122925519437,358,0.0222427085090102,0.09438060308249617,EV Fleet Overnight Charging,PID Droop,2
274.37358799620984,37.12679337916664,4.945071685567559,202.85644828274454,0.0,41,291.7317491932291,43.46817959790762,358,0.021831076335527336,0.09438060308249617,EV Fleet Overnight Charging,PID Droop,3
274.25256482289205,37.135515629155655,4.942606454651766,202.74399687949494,0.0,41,291.51660299999816,43.450799784204435,358,0.015600521085919656,0.09438060308249617,EV Fleet Overnight Charging,PID Droop,4
207.4710816160929,43.799790301089004,3.56055883715638,145.30291020809983,0.0,87,279.6542481764566,17.432865200229376,26,18.989934548345545,0.09438060308249617,EV Fleet Overnight Charging,Classical MPC (Naive Forecast),0
206.4827238904438,44.09422571852794,3.54634263161806,144.62835599249928,0.0,93,289.6710025463068,16.94170707577625,15,17.364944617965094,0.09438060308249617,EV Fleet Overnight Charging,Classical MPC (Naive Forecast),1
211.0539853368693,43.817981106615754,3.6506749166209773,149.05262045155672,0.0,87,300.7115229623034,16.70059405249656,23,18.151674305929394,0.09438060308249617,EV Fleet Overnight Charging,Classical MPC (Naive Forecast),2
210.83333106858979,43.83730863602572,3.645372004041103,148.8511214449569,0.0,95,311.8510446894362,16.78837431092434,19,17.6487159723264,0.09438060308249617,EV Fleet Overnight Charging,Classical MPC (Naive Forecast),3
217.953649586463,43.85020615696795,3.817463270759469,155.90145947217508,0.0,85,327.82238804634915,17.20677651460806,14,20.31772777776395,0.09438060308249617,EV Fleet Overnight Charging,Classical MPC (Naive Forecast),4
145.1020066427489,58.873583305188205,2.920925192545576,118.64253248849809,10.819289240546963,18,37.909666811734326,8.436370727124288,30,25.673014756977054,0.011872822650425316,Islanded Microgrid Fault Ride-Through,DT-AAMPC (Proposed),0
151.00325882842148,58.8743845034148,3.0651787515751594,124.5367553981854,10.5274487075502,11,32.86990699621283,8.481482755875042,29,21.102077777868544,0.011872822650425316,Islanded Microgrid Fault Ride-Through,DT-AAMPC (Proposed),1
154.29835568621223,59.271065798571854,3.1637607864013706,128.40367004131141,16.743884525714446,14,37.37032030259494,8.453978317103843,25,24.561803472326776,0.011872822650425316,Islanded Microgrid Fault Ride-Through,DT-AAMPC (Proposed),2
168.44439927683482,59.12041199288005,3.5124666180328057,142.524182609554,16.57930322385008,17,42.434273553871904,8.598615703735739,25,25.671619618277774,0.011872822650425316,Islanded Microgrid Fault Ride-Through,DT-AAMPC (Proposed),3
171.80870704758576,58.26798438348193,3.5796090180151507,145.26536409723187,11.894376054608768,18,40.68160146919308,8.303744149322698,28,24.342025173508674,0.011872822650425316,Islanded Microgrid Fault Ride-Through,DT-AAMPC (Proposed),4
305.0967120345224,48.55327124044898,6.721140478871634,273.8939067435492,11.073192252545129,59,276.9667241373094,12.83821133158249,270,0.021607291652496013,0.011872822650425316,Islanded Microgrid Fault Ride-Through,PID Droop,0
305.1548792280907,48.549612400736244,6.7224812454636185,273.9487600608348,11.053187971738424,57,277.2288163631602,12.841066760296442,268,0.02668993018536033,0.011872822650425316,Islanded Microgrid Fault Ride-Through,PID Droop,1
305.4842403398167,48.531253226239954,6.730408719266922,274.27213804942653,11.080775410621102,57,277.65533780540886,12.848366876184402,269,0.02095677112063438,0.011872822650425316,Islanded Microgrid Fault Ride-Through,PID Droop,2
304.9642604310668,48.5560801350934,6.717720308156727,273.7665377429868,11.062042647619794,57,276.892317136432,12.813187945328657,268,0.023866319553336426,0.011872822650425316,Islanded Microgrid Fault Ride-Through,PID Droop,3
305.29884068714966,48.55753587895926,6.726399810269557,274.1011839304317,11.068393955138323,59,276.5298066006462,12.820579264502882,270,0.02662708321723686,0.011872822650425316,Islanded Microgrid Fault Ride-Through,PID Droop,4
228.81850305986015,55.85046531686431,4.980142684585164,202.67319869390298,16.317976123343414,76,295.01214847911456,5.6577079020400145,35,21.549388889297916,0.011872822650425316,Islanded Microgrid Fault Ride-Through,Classical MPC (Naive Forecast),0
224.45950415796685,55.98055594227602,4.8734539232779035,198.34719833052475,15.94398405674129,80,292.02144174216926,5.428274780953795,49,21.657538888954758,0.011872822650425316,Islanded Microgrid Fault Ride-Through,Classical MPC (Naive Forecast),1
230.28783200881605,56.041698370749835,5.0142203551786775,204.04871082425436,15.86062482527836,78,300.1895251250352,6.000941432343512,49,21.506434722874072,0.011872822650425316,Islanded Microgrid Fault Ride-Through,Classical MPC (Naive Forecast),2
219.56224924644397,56.513879288244254,4.760892199217737,193.72947398689854,16.233083627539045,82,265.5518044074063,5.241189508528809,54,25.168417534662996,0.011872822650425316,Islanded Microgrid Fault Ride-Through,Classical MPC (Naive Forecast),3
232.701787919811,55.85672782501281,5.076816297633369,206.60620139234277,16.581900640430252,80,312.6879430998408,5.388774722890819,39,31.907300000031885,0.011872822650425316,Islanded Microgrid Fault Ride-Through,Classical MPC (Naive Forecast),4
152.3622266353248,48.987677209795244,2.957050010177864,120.20085796922012,0.0,24,27.028862864731444,24.532810609997625,0,43.773907812692414,0.01934398623254502,Solar Oversupply Curtailment,DT-AAMPC (Proposed),0
136.06133960995498,48.60430113469418,2.559629493727089,103.99382720504673,0.0,20,21.49279612779126,23.126628169062265,0,47.20665451453795,0.01934398623254502,Solar Oversupply Curtailment,DT-AAMPC (Proposed),1
184.20877667741075,48.06469330435124,3.728734192375338,151.49234329007038,0.0,21,29.35032991253485,25.87801795726511,0,40.92143871520825,0.01934398623254502,Solar Oversupply Curtailment,DT-AAMPC (Proposed),2
116.84343613501709,49.05710886694048,2.0996356124683424,85.28637311005124,0.0,20,18.635226630318353,21.311616339022986,0,46.498564583139846,0.01934398623254502,Solar Oversupply Curtailment,DT-AAMPC (Proposed),3
138.07888134748353,48.812359356083526,2.610045770062719,106.26871387677963,0.0,23,23.19830606506354,22.484247693719524,0,46.3009326387641,0.01934398623254502,Solar Oversupply Curtailment,DT-AAMPC (Proposed),4
318.1586669978725,37.09348646628812,6.876404520903567,279.1070177552003,0.0,37,240.60350661472194,37.13052224190075,356,0.01912031229443932,0.01934398623254502,Solar Oversupply Curtailment,PID Droop,0
318.2037197642473,37.099295353409524,6.877684486261304,279.15832189684056,0.0,37,241.19509083651792,37.11076597516677,355,0.01603368036739994,0.01934398623254502,Solar Oversupply Curtailment,PID Droop,1
318.19363373713526,37.09672961634974,6.877335178567101,279.14574055067203,0.0,37,240.7553053052966,37.11812577753675,354,0.023343229461008582,0.01934398623254502,Solar Oversupply Curtailment,PID Droop,2
318.17984105000204,37.09330848156186,6.876756746182455,279.1295067876812,0.0,37,242.26146338107907,37.12379968242216,354,0.01857482589508032,0.01934398623254502,Solar Oversupply Curtailment,PID Droop,3
318.2498014043554,37.0933178946433,6.878901464426457,279.20015879378536,0.0,37,240.65592041463623,37.120662442917194,356,0.02016822920975553,0.01934398623254502,Solar Oversupply Curtailment,PID Droop,4
273.80227160878036,44.61235983253249,5.910291978680626,240.4448220982652,0.0,84,316.85373826163277,22.62685439115075,49,28.023342534475486,0.01934398623254502,Solar Oversupply Curtailment,Classical MPC (Naive Forecast),0
279.3811815178734,44.63638020718387,6.047209443433966,246.1066323910594,0.0,86,331.43266842825426,22.31353450822322,28,30.716147396030163,0.01934398623254502,Solar Oversupply Curtailment,Classical MPC (Naive Forecast),1
282.6905515460405,44.4638067248703,6.127776660586659,249.4794186236015,0.0,73,308.3187421192472,22.797046283061,31,30.981305729230574,0.01934398623254502,Solar Oversupply Curtailment,Classical MPC (Naive Forecast),2
283.62398399959454,44.44005907116638,6.1492697401765,250.35246546853264,0.0,83,349.8699328070693,21.794894055728722,19,28.57901076410801,0.01934398623254502,Solar Oversupply Curtailment,Classical MPC (Naive Forecast),3
260.31666402135613,44.571779946902055,5.5752131766150015,226.87061119181493,0.0,74,276.65193172543195,22.921432745984944,31,29.70364166685613,0.01934398623254502,Solar Oversupply Curtailment,Classical MPC (Naive Forecast),4
